id,user_id,week,paid
5,0abf214b-5a1d-428f-bb8f-a0ec4f051409,1,True
1,9e32bab3-9893-416f-bb69-1125d1c15dfc,1,True
7,a35bc3d9-d43c-45ba-9a90-e704fbc4d271,1,True
8,16f02317-1916-45d1-8b3f-177e62a903a6,1,True
9,f64b1578-cc0e-457c-b634-0fa071c58993,1,True
10,ff8c3e6a-ec1b-48c1-b26a-37378dac7c93,1,True
11,d0deac45-6ddb-4829-b226-eed9040ca881,1,True
12,bac24cea-1c92-4a66-8018-3684b954cbda,1,True
13,c9ce2e1d-1985-439f-8a5d-9d5cb5e801c8,1,True
31,ceeb5824-a753-402f-ac46-33955dfc7331,1,True
32,46781f6c-58da-48d7-978e-60ecf732d19e,1,True
33,a984c83a-42bb-4ea0-9c0c-578873185c07,1,True
