id,user_id,game_id,picked_team,created_at
722,6a1e9dce-0335-4268-b2b0-a6f6e6f7fe92,401872656,SEA,2026-09-05T03:06:42.942218+00:00
723,6a1e9dce-0335-4268-b2b0-a6f6e6f7fe92,401872657,LAR,2026-09-05T03:06:42.942218+00:00
724,6a1e9dce-0335-4268-b2b0-a6f6e6f7fe92,401872658,PIT,2026-09-05T03:06:42.942218+00:00
725,6a1e9dce-0335-4268-b2b0-a6f6e6f7fe92,401872659,BAL,2026-09-05T03:06:42.942218+00:00
726,6a1e9dce-0335-4268-b2b0-a6f6e6f7fe92,401872660,BUF,2026-09-05T03:06:42.942218+00:00
727,6a1e9dce-0335-4268-b2b0-a6f6e6f7fe92,401872661,CHI,2026-09-05T03:06:42.942218+00:00
728,6a1e9dce-0335-4268-b2b0-a6f6e6f7fe92,401872922,JAX,2026-09-05T03:06:42.942218+00:00
729,6a1e9dce-0335-4268-b2b0-a6f6e6f7fe92,401872923,DET,2026-09-05T03:06:42.942218+00:00
730,6a1e9dce-0335-4268-b2b0-a6f6e6f7fe92,401872924,TEN,2026-09-05T03:06:42.942218+00:00
731,6a1e9dce-0335-4268-b2b0-a6f6e6f7fe92,401872925,CIN,2026-09-05T03:06:42.942218+00:00
732,6a1e9dce-0335-4268-b2b0-a6f6e6f7fe92,401872926,LAC,2026-09-05T03:06:42.942218+00:00
733,6a1e9dce-0335-4268-b2b0-a6f6e6f7fe92,401872927,GB,2026-09-05T03:06:42.942218+00:00
734,6a1e9dce-0335-4268-b2b0-a6f6e6f7fe92,401872928,LV,2026-09-05T03:06:42.942218+00:00
735,6a1e9dce-0335-4268-b2b0-a6f6e6f7fe92,401872929,PHI,2026-09-05T03:06:42.942218+00:00
736,6a1e9dce-0335-4268-b2b0-a6f6e6f7fe92,401872930,NYG,2026-09-05T03:06:42.942218+00:00
752,6a1e9dce-0335-4268-b2b0-a6f6e6f7fe92,401872931,KC,2026-09-05T20:15:16.634491+00:00
753,9e32bab3-9893-416f-bb69-1125d1c15dfc,401872656,SEA,2026-09-05T20:22:24.041628+00:00
754,9e32bab3-9893-416f-bb69-1125d1c15dfc,401872657,LAR,2026-09-05T20:22:24.041628+00:00
755,9e32bab3-9893-416f-bb69-1125d1c15dfc,401872658,PIT,2026-09-05T20:22:24.041628+00:00
756,9e32bab3-9893-416f-bb69-1125d1c15dfc,401872659,BAL,2026-09-05T20:22:24.041628+00:00
757,9e32bab3-9893-416f-bb69-1125d1c15dfc,401872660,BUF,2026-09-05T20:22:24.041628+00:00
758,9e32bab3-9893-416f-bb69-1125d1c15dfc,401872661,CHI,2026-09-05T20:22:24.041628+00:00
759,9e32bab3-9893-416f-bb69-1125d1c15dfc,401872922,JAX,2026-09-05T20:22:24.041628+00:00
760,9e32bab3-9893-416f-bb69-1125d1c15dfc,401872923,DET,2026-09-05T20:22:24.041628+00:00
761,9e32bab3-9893-416f-bb69-1125d1c15dfc,401872924,TEN,2026-09-05T20:22:24.041628+00:00
762,9e32bab3-9893-416f-bb69-1125d1c15dfc,401872925,CIN,2026-09-05T20:22:24.041628+00:00
763,9e32bab3-9893-416f-bb69-1125d1c15dfc,401872926,LAC,2026-09-05T20:22:24.041628+00:00
764,9e32bab3-9893-416f-bb69-1125d1c15dfc,401872927,GB,2026-09-05T20:22:24.041628+00:00
765,9e32bab3-9893-416f-bb69-1125d1c15dfc,401872928,LV,2026-09-05T20:22:24.041628+00:00
766,9e32bab3-9893-416f-bb69-1125d1c15dfc,401872929,PHI,2026-09-05T20:22:24.041628+00:00
767,9e32bab3-9893-416f-bb69-1125d1c15dfc,401872930,NYG,2026-09-05T20:22:24.041628+00:00
768,9e32bab3-9893-416f-bb69-1125d1c15dfc,401872931,KC,2026-09-05T20:22:24.041628+00:00
769,a35bc3d9-d43c-45ba-9a90-e704fbc4d271,401872656,NE,2026-09-07T05:01:05.51677+00:00
770,a35bc3d9-d43c-45ba-9a90-e704fbc4d271,401872657,LAR,2026-09-07T05:01:05.51677+00:00
771,a35bc3d9-d43c-45ba-9a90-e704fbc4d271,401872658,ATL,2026-09-07T05:01:05.51677+00:00
772,a35bc3d9-d43c-45ba-9a90-e704fbc4d271,401872659,BAL,2026-09-07T05:01:05.51677+00:00
773,a35bc3d9-d43c-45ba-9a90-e704fbc4d271,401872660,BUF,2026-09-07T05:01:05.51677+00:00
774,a35bc3d9-d43c-45ba-9a90-e704fbc4d271,401872661,CAR,2026-09-07T05:01:05.51677+00:00
